English,Japanese,French,Italian,German,Spanish,Russian,Polish,Korean,traditional Chinese,Simplified Chinese
Speed Sharpening,砥石使用高速化,Affûtage rapide,Affilatura veloce,Schnelles Schärfen,Afilado rápido,Быстрая заточка,Szybkie ostrzenie,숫돌 사용 고속화,砥石使用高速化,砥石使用高速化
Bombardier,ボマー,Bombardier,Bombardiere,Bombardier,Bombardero,Бомбардир,Bombardier,보머,炸彈客,炸弹客
Mushroomancer,キノコ大好き,Mycologue extrême,Fungomante,Mykologie,Experto en setas,Владыка грибов,Grzybomanta,버섯 애호가,最愛菇類,最爱蘑菇
Item Prolonger,アイテム使用強化,Chimiste,Estensione oggetti,Objektverlängerung,Duración de objetos,Экономное использ.,Długie trwanie,아이템 사용 강화,道具使用強化,道具使用强化
Wide-Range,広域化,Un pour tous,Ampia area,Wirkbereich,Efecto área,Аура,Duży zasięg,광역화,廣域化,广域化
Free Meal,満足感,Pique-assiette,Pasto gratuito,Freie Mahlzeit,Comida gratis,Бесплатная еда,Darmowy posiłek,만족감,滿足感,满足感
Heroics,火事場力,Héroïsme,Eroismo,Heldentat,Heroicidad,Героизм,Wyczyny,재난대처능력,火場怪力,火场怪力
Fortify,不屈,Jamais vaincu,Rafforzamento,Kräftigen,Fortalecer,Укрепление,Wzmocnienie,불굴,不屈,不屈
Flinch Free,ひるみ軽減,Nerfs d'acier,Antisussulto,Unbeeindruckt,Mejora de balance,Непоколебимость,Kamienna twarz,움찔 감소,減輕膽怯,减轻胆怯
Jump Master,ジャンプ鉄人,Acrobate,Maestro saltatore,Sprungmeister,Experto en salto,Мастер прыжков,Mistrz skakania,점프 철인,跳躍鐵人,跳跃铁人
Carving Pro,剥ぎ取り鉄人,Expert en dépeçage,Esperto di ricavo,Zerleger-Profi,Experto cortador,Профи разделки,Spec od wycinania,갈무리 철인,剝取鐵人,剥取铁人
Hunger Resistance,腹減り耐性,Spartiate,Resistenza fame,Hungerwiderstand,Gasto resistencia,Сопротивление голоду,Odporność na głód,배고픔 내성,飢餓耐性,饥饿耐性
Leap of Faith,飛び込み,Saut de la foi,Salto nel buio,Schicksalssprung,Mejora de salto,Прыжок веры,Skok wiary,뛰어들기,飛身躍入,飞身跃入
Diversion,陽動,Diversion,Diversione,Provozierer,Distracción,Диверсия,Dywersja,양동,佯攻,佯动
Master Mounter,乗り名人,Maître-cavalier,Cavaliere provetto,Rittmeister,As de la monta,Мастер-наездник,Mistrz dosiadania,탑승 명인,騎乘名人,骑乘名人
Chameleos Blessing,霞皮の恩恵,Bénédiction Cham.,Benediz. Chameleos,Chameleos-Segen,Bendición de Chameleos,Благосл. Хамелеоса,Błogosł. Chameleosa,하피의 은혜,霞皮之恩惠,霞皮的恩惠
Kushala Blessing,鋼殻の恩恵,Bénédiction Kushala,Benedizione Kushala,Kushala-Segen,Bendición de Kushala,Благосл. Кушалы,Błogosław. Kushali,강각의 은혜,鋼殼之恩惠,钢壳的恩惠
Teostra Blessing,炎鱗の恩恵,Bénédiction Teostra,Benedizione Teostra,Teostra-Segen,Bendición de Teostra,Благосл. Теостры,Błogosław. Teostry,염린의 은혜,炎鱗之恩惠,炎鳞的恩惠
Dragonheart,龍気活性,Cœur de dragon,Cuor di drago,Drachenherz,Corazón de dragón,Драконье сердце,Smocze serce,용기 활성,龍氣活化,龙气活性
Wirebug Whisperer,翔蟲使い,Dompteur de Filoptères,Incantat. ins. filo,Seilkäfer-Flüsterer,Domacordópteros,Говорящ. с Прутожук.,Zaklinacz kablobaków,밧줄벌레꾼,翔蟲能手,翔虫使
Wall Runner,壁面移動,Grimpeur,Scalatore,Wandläufer,Correparedes,Бегун по стенам,Ścianobiegacz,벽면 이동,飛簷走壁,墙面移动
Counterstrike,逆襲,Contre-attaque,Contrattacco,Gegenschlag,Contraataque,Контрудар,Kontratak,역습,逆襲,逆袭
Rapid Morph,高速変形,Morphose rapide,Trasforma rapido,Blitz-Morphen,Mutación rápida,Быстрое превращение,Szybka transformacja,고속 변형,高速變形,高速变形
Hellfire Cloak,鬼火纏,Cape Feu de l'enfer,Mantello infernale,Höllenfeuer-Umhang,Manto infernal,Завеса ад. пламени,Piekielna peleryna,귀화전,鬼火纏身,鬼火缠
Wind Alignment,風紋の一致,Alignement vent,Allineamento vento,Wind-Abgleich,Viento unificado,Тайна ветра,Wyrównanie wiatru,풍문의 일치,風紋一致,风纹一致
Thunder Alignment,雷紋の一致,Alignement tonnerre,Allineamento tuono,Donner-Abgleich,Rayo unificado,Тайна грозы,Wyrównanie pioruna,뇌문의 일치,雷紋一致,雷纹一致
Stormsoul,風雷合一,Âme de la tempête,Tempestanima,Sturmseele,Viento y trueno,Душа бури,Burzodusza,풍뢰합일,風雷合一,风雷合一
Wirebug Whisperer,Wirebug Whisperer,Wirebug Whisperer,Wirebug Whisperer,Wirebug Whisperer,Wirebug Whisperer,Wirebug Whisperer,Wirebug Whisperer,Wirebug Whisperer,Wirebug Whisperer,Wirebug Whisperer
Bladescale Hone,Bladescale Hone,Bladescale Hone,Bladescale Hone,Bladescale Hone,Bladescale Hone,Bladescale Hone,Bladescale Hone,Bladescale Hone,Bladescale Hone,Bladescale Hone
Blood Rite,Blood Rite,Blood Rite,Blood Rite,Blood Rite,Blood Rite,Blood Rite,Blood Rite,Blood Rite,Blood Rite,Blood Rite
Bloodlust,Bloodlust,Bloodlust,Bloodlust,Bloodlust,Bloodlust,Bloodlust,Bloodlust,Bloodlust,Bloodlust,Bloodlust
Chain Crit,Chain Crit,Chain Crit,Chain Crit,Chain Crit,Chain Crit,Chain Crit,Chain Crit,Chain Crit,Chain Crit,Chain Crit
Charge Master,Charge Master,Charge Master,Charge Master,Charge Master,Charge Master,Charge Master,Charge Master,Charge Master,Charge Master,Charge Master
Coalescence,Coalescence,Coalescence,Coalescence,Coalescence,Coalescence,Coalescence,Coalescence,Coalescence,Coalescence,Coalescence
Dereliction,Dereliction,Dereliction,Dereliction,Dereliction,Dereliction,Dereliction,Dereliction,Dereliction,Dereliction,Dereliction
Foray,Foray,Foray,Foray,Foray,Foray,Foray,Foray,Foray,Foray,Foray
Furious,Furious,Furious,Furious,Furious,Furious,Furious,Furious,Furious,Furious,Furious
Grinder (S),Grinder (S),Grinder (S),Grinder (S),Grinder (S),Grinder (S),Grinder (S),Grinder (S),Grinder (S),Grinder (S),Grinder (S)
Mail of Hellfire,Mail of Hellfire,Mail of Hellfire,Mail of Hellfire,Mail of Hellfire,Mail of Hellfire,Mail of Hellfire,Mail of Hellfire,Mail of Hellfire,Mail of Hellfire,Mail of Hellfire
Quick Breath,Quick Breath,Quick Breath,Quick Breath,Quick Breath,Quick Breath,Quick Breath,Quick Breath,Quick Breath,Quick Breath,Quick Breath
Redirection,Redirection,Redirection,Redirection,Redirection,Redirection,Redirection,Redirection,Redirection,Redirection,Redirection
Spiribird's Call,Spiribird's Call,Spiribird's Call,Spiribird's Call,Spiribird's Call,Spiribird's Call,Spiribird's Call,Spiribird's Call,Spiribird's Call,Spiribird's Call,Spiribird's Call
Tune-Up,Tune-Up,Tune-Up,Tune-Up,Tune-Up,Tune-Up,Tune-Up,Tune-Up,Tune-Up,Tune-Up,Tune-Up
Wall Runner (Boost),Wall Runner (Boost),Wall Runner (Boost),Wall Runner (Boost),Wall Runner (Boost),Wall Runner (Boost),Wall Runner (Boost),Wall Runner (Boost),Wall Runner (Boost),Wall Runner (Boost),Wall Runner (Boost)
Guts,Guts,Guts,Guts,Guts,Guts,Guts,Guts,Guts,Guts,Guts
Status Trigger,Status Trigger,Status Trigger,Status Trigger,Status Trigger,Status Trigger,Status Trigger,Status Trigger,Status Trigger,Status Trigger,Status Trigger
Defiance,Defiance,Defiance,Defiance,Defiance,Defiance,Defiance,Defiance,Defiance,Defiance,Defiance
Sneak Attack,Sneak Attack,Sneak Attack,Sneak Attack,Sneak Attack,Sneak Attack,Sneak Attack,Sneak Attack,Sneak Attack,Sneak Attack,Sneak Attack
Adrenaline Rush,Adrenaline Rush,Adrenaline Rush,Adrenaline Rush,Adrenaline Rush,Adrenaline Rush,Adrenaline Rush,Adrenaline Rush,Adrenaline Rush,Adrenaline Rush,Adrenaline Rush
